Posto;CNPJ;Cidade;UF;Latitude;Longitude;S10;S500;Arla;Data Negociacao;Homologacao;Observacao;Telefone
REDE K COMBUSTIVEIS LTDA;;ARAGUAINA;TO;-7,202561;-48,237948;6,43;6,03;2,88;16/07/2026;;;6391067333
AUTO POSTO REDENCAO LTDA;;REDENCAO;PA;-8,044763;-50,027203;6,38;6,38;2,97;13/07/2026;;;9491086806
MIRIAN BARCARENA AUTO POSTO LTDA;;BARCARENA;PA;-1,585643;-48,579358;6,46;;3,98;16/07/2026;;;6999448193
REDE DE POSTOS MARAJO SANTANA DO ARAGUAIA LTDA;;SANTANA DO ARAGUAIA;PA;-9,341312;-50,322154;6,56;6,44;3,58;14/07/2026;;;6281760472
AUTO POSTO PRIMAVERA EIRELI;;XINGUARA;PA;-7,096286;-49,934204;6,39;6,39;3,48;07/07/2026;;;9434261520
JCR O STRADEIRO COMERCIO DE PRODUTOS LTDA;;JACIARA;MT;-15,93119;-55,022238;;;2,98;01/08/2025;;;66999016162
J C R JACIARA O ESTRADEIRO LTDA;;JACIARA;MT;-15,95597;-54,975185;6,12;5,74;2,98;16/07/2026;;;66999016162
AUTO POSTO KAMBUI ARARAQUARA LTDA;;ARARAQUARA;SP;-21,70356;-48,323222;6,28;5,88;2,98;03/07/2026;;;1633222250
MARAJO BENEVIDES PA;;BENEVIDES;PA;-1,340092;-48,242906;6,78;;3,58;15/07/2026;;;6281760472
NATAL COMERCIO DE COMBUSTIVEIS LTDA;;CHAPECO;SC;-27,032265;-52,635311;5,98;5,91;;15/07/2026;;;4920209442
POSTO ESTRELA DA DUTRA LTDA;;QUELUZ;SP;-22,529791;-44,7517;6,52;6,16;4,07;06/07/2026;;;1231479413
REDE DE POSTOS COMERCIO DE COMBUSTIVEIS MARAJO PARAISO DO TO;;PARAISO DO TOCANTINS;TO;-10,212698;-48,874382;6,54;6,44;3,48;16/07/2026;;;6239996262
W L VISANI LTDA;;APARECIDA DO TABOADO;MS;-20,041779;-51,112478;6,2;5,78;2,63;15/07/2026;;;6735651486
AUTO POSTO SERTANEJO DO KM 18 LTDA;;NOVA GRANADA;SP;-20,448106;-49,282315;6,12;5,89;3,08;07/07/2026;;;17981883997
POSTO FORTALEZA - ABASTECEDORA DE COMBUSTIVEL;;CAMPO GRANDE;MS;-20,456583;-54,545884;6,27;5,9;3,06;02/07/2026;;;67996150104
POSTO SANTA LUZIA TRES LTDA;;MARABA;PA;-5,378126;-49,07614;6,74;6,68;3,58;16/07/2026;;;9492038687
R L C COMBUSTIVEIS LTDA;;SAO CAETANO;PE;-8,334536;-36,136563;6,48;;3,48;10/07/2026;;;81994087008
Mirian Vilhena Auto Posto Com.Comb.Lubrif.Gas.Cult.Mad. Ltda;;VILHENA;RO;-12,752885;-60,105702;6,58;6,55;3,98;16/07/2026;;;55693322304
POSTO A+ COMERCIO DE COMBUSTIVEIS LTDA ITAPAJE;;ITAPAGE;CE;-3,703575;-39,572685;6,54;;;13/07/2026;;;8991606681
FCJ - COMBUSTIVEIS E CONVENIENCIA LTDA;;JABOATAO DOS GUARARAPES;PE;-8,154948;-34,946367;6,55;;3,98;14/07/2026;;;81999890202
ARLINDO DA FONSECA LINS & CIA LTDA;;JOAO PESSOA;PB;-7,173059;-34,897845;6,78;;;09/05/2026;;;8121192772
POSTO MAR DAS PEDRAS LTDA;;CONCORDIA;SC;-27,250564;-51,952013;5,98;5,88;2,98;16/07/2026;;;49999513635
POSTO MAR DAS PEDRAS LTDA;;RONDONOPOLIS;MT;-16,51127;-54,648954;6,37;6,16;2,98;16/07/2026;;;6634240058
DECIO COMERCIO E SERVICOS RODOVIARIOS LTDA;;CENTRALINA;MG;-18,539282;-49,193202;6,28;6,48;2,98;16/07/2026;;;3432679200
